Cell Type	Z-score	Cluster
Morula cell (Blastomere)	-0.2957585053085561	0
Resident memory T cell	-0.2959454677740963	0
Early T cell progenitor (ETP)	-0.2961144667732009	0
Homeostatic microglial cell	-0.2967386450526544	0
M1 microglial cell	-0.2967386450526544	0
Lymphoid cell	-0.2970390674532576	0
Bipolar cell	-0.29824065598936195	0
Pyramidal cell	-0.29824065598936195	0
Activated langerhans cell	-0.2986084728282926	0
CD1C+_A dendritic cell	-0.29968891314734264	0
CD14+ monocyte	-0.30016021201010595	0
Artery cell	-0.3003866304991635	0
Cancer stem cell	-0.3003866304991635	0
Trophoblast cell	-0.3003866304991635	0
T helper 2(Th2) cell	-0.30064029409473814	0
m-Pericyte	-0.3011948208980406	0
Myoid cell	-0.3011948208980406	0
Squamous epithelial cell	-0.3013103426516406	0
4-cell stage cell (Blastomere)	-0.3014039580359441	0
CAR-T cell	-0.301424129488477	0
1-cell stage cell (Blastomere)	-0.3017468523182184	0
Effector memory CD4+ T cell	-0.30215799335371585	0
Damage-associated transient progenitor cell	-0.30262911444512197	0
Vascular smooth muscle cell(VSMC)	-0.30262911444512197	0
Synthetic smooth muscle cell	-0.302904373310118	0
Effector chondrocyte	-0.302904373310118	0
Multipotent progenitor cell	-0.30302051956791154	0
Activated B cell	-0.3033347962829501	0
Myoblast	-0.30415202438010197	0
Goblet cell	-0.3052540477879434	0
Germinal center cell	-0.307406306844427	0
Follicular cell	-0.307406306844427	0
Lymphocyte	-0.30831482382554704	0
Natural killer T(NKT) cell	-0.30831482382554704	0
Innate lymphoid cell (ILCs)	-0.30831482382554704	0
CD8+ mucosal-associated invariant T cell(CD8+ MAIT)	-0.30831482382554704	0
Exhausted T(Tex) cell	-0.3089275934635511	0
Myeloid-derived suppressor cell	-0.3093162302912622	0
Myeloid conventional dendritic cell	-0.3093162302912622	0
Monocyte-derived dendritic cell	-0.3093162302912622	0
Demyelinating macrophage	-0.3094887629898998	0
Demyelinating microglial cell	-0.3094887629898998	0
Infiltrated mononuclear cell	-0.3094887629898998	0
Hofbauer cell	-0.3094887629898998	0
Meyloid cell	-0.3094887629898998	0
CD14+CD16+ monocyte	-0.3094887629898998	0
Pan monocyte	-0.3094887629898998	0
Cancer cell	-0.3094887629898998	0
M0 macrophage	-0.3094887629898998	0
Activated macrophage	-0.3094887629898998	0
glomerular Endothelial cell (ECg)	-0.3100724620729136	0
Mature endothelial cell	-0.3100724620729136	0
Vascular cell	-0.3100724620729136	0
Cardiomyocyte	-0.3100724620729136	0
Lymphatic cell	-0.3100724620729136	0
Foetal endothelial cell	-0.3100724620729136	0
Late endothelial cell	-0.3100724620729136	0
Memory T cell	-0.3101197133704428	0
Dividing T cell	-0.3101415644330947	0
Plasmablast	-0.3101415644330947	0
Syncytiotrophoblast	-0.3102109242325375	0
