Cell Type	Z-score	Cluster
Double-negative T cell	-0.3315993788783642	1
Neutrophil	-0.3316754556507032	1
Morula cell (Blastomere)	-0.33179436283861463	1
Oligodendrocyte	-0.33179436283861463	1
Microglial cell	-0.3323687522125	1
Astrocyte	-0.3323687522125	1
Pancreatic polypeptide cell	-0.3327797672049238	1
Airway secretory cell	-0.3327797672049238	1
Gonadal mitotic phase fetal germ cell	-0.3327797672049238	1
Basal cell	-0.3327797672049238	1
Effector natural killer cell	-0.33291706170054414	1
AXL+ SIGLEC6+ dendritic cell	-0.33291706170054414	1
Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC)	-0.33291706170054414	1
Activated natural killer cell	-0.33291706170054414	1
Cytotoxic CD8 T cell	-0.33291706170054414	1
Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC)	-0.33291706170054414	1
CD1C+_A dendritic cell	-0.33291706170054414	1
Myeloid conventional dendritic cell	-0.33291706170054414	1
Myeloid cell	-0.33291706170054414	1
Leukocyte	-0.33291706170054414	1
Effector T(Teff) cell	-0.33291706170054414	1
M1 macrophage	-0.333185379159839	1
Goblet cell	-0.333185379159839	1
CD1C-CD141- dendritic cell	-0.3333854710921802	1
Activated CD8+ T cell	2.7227873173562123	10
Natural killer cell	2.7227873173562123	10
T cell	1.5632545408071505	10
Activated effector cell	-0.38937939863997667	10
CD4+ cytotoxic T2 cell	-0.38937939863997667	10
Cytotoxic CD4+ T cell	-0.38937939863997667	10
CD8+ T cell	-0.38937939863997667	10
Cytotoxic CD8 T cell	-0.38937939863997667	10
Effector CD8 T cell	-0.38937939863997667	10
Finally highly effector (TEMRA) memory T cell	-0.38937939863997667	10
Gamma delta(γδ) T cell	-0.38937939863997667	10
Effector memory CD8+ T cell	-0.38937939863997667	10
Eosinophil	-0.38937939863997667	10
Immune cell	-0.38937939863997667	10
Hematopoietic cell	-0.38937939863997667	10
M1 macrophage	-0.38937939863997667	10
Megakaryocyte	-0.38937939863997667	10
Natural killer T (NKT) cell	-0.38937939863997667	10
NK and T cell	-0.38937939863997667	10
SLC16A7+ cell	-0.38937939863997667	10
Tissue resident memory T(TRM) cell	-0.38937939863997667	10
Megakaryocyte	10.491159814681373	11
Platelet	2.974305195573906	11
Microglial cell	1.244943862414718	11
Megakaryocyte progenitor cell	1.2247278208291972	11
Astrocyte	1.1366585533598044	11
Mast cell	0.8526725104917932	11
Endothelial cell	0.8067114031550002	11
Macrophage	0.6868088571444337	11
Stem cell	0.4807576294349039	11
Excitatory neuron	0.39615863554120484	11
Monocyte	0.3788940312988738	11
Natural killer T (NKT) cell	0.3436500952612638	11
Fibrocartilage chondrocyte	0.29011216199728707	11
Eosinophil	0.23855736919150322	11
Mesenchymal stromal cell	0.21981349987169418	11
Adipose-derived stem cell	0.21981349987169418	11
Pericyte	0.1843496891027333	11
Smooth muscle cell	0.1843496891027333	11
Activated CD8+ T cell	0.17675041044476097	11
Natural killer cell	0.17675041044476097	11
Mitotic fetal germ cell	0.04464247248410488	11
T cell	0.02411774156454599	11
Effector memory T cell	0.001783391025065212	11
Progenitor cell	-0.058122999774472266	11
Migration phase fetal germ cell	-0.12082784540493782	11
Mitotic arrest phase fetal germ cell	-0.12182957027641216	11
Sertoli cell	-0.12808832817576668	11
Gonadal endothelial cell	-0.1312704240613783	11
Myeloid cell	-0.13494679192235343	11
Patelet	-0.13511855028443934	11
CD1C-CD141- dendritic cell	-0.14764388136933215	11
Multilymphoid progenitor cell	-0.1502725609109454	11
Gonadal mitotic phase fetal germ cell	-0.15216333578004151	11
Oogenesis phase fetal germ cell	-0.15329240550542111	11
Leydig cell	-0.15582953441724598	11
Epithelial cell	-0.1658674601875371	11
B cell	-0.16823380921713157	11
Circulating fetal cell	-0.16999023265126614	11
Paneth cell	-0.17221900295698517	11
Fibroblast	-0.17574477969279947	11
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.17749971689197722	11
Ionocyte cell	-0.17862840658557197	11
Hematopoietic cell	-0.18289155011241778	11
Oligodendrocyte progenitor cell	-0.18442300947932916	11
CD141+CLEC9A+ dendritic cell	-0.1894422317338142	11
Liver bud hepatic cell	-0.19058437787904567	11
Embryonic stem cell	-0.19651983825149877	11
Retinoid acid signaling-responsive fetal germ cell	-0.19707274495749671	11
Trophectoderm cell	-0.19729076489314773	11
Plasmacytoid dendritic cell	-0.20458950283710783	11
Tissue resident memory T(TRM) cell	-0.20560379668714915	11
Effector CD8+ memory T (Tem) cell	-0.209496243528706	11
Neuron	-0.21005294019660734	11
Granulosa cell	-0.21046669909621618	11
Myofibroblast	-0.2109338510494145	11
MKI67+ progenitor cell	-0.21180723218905542	11
Oligodendrocyte	-0.21195547596677594	11
Lymphoid cell	-0.21261218093303044	11
Exhausted CD4+ T cell	-0.21645997670731412	11
Idiopathic pulmonary fibrosis myofibroblast	-0.21646793603527262	11
Osteocyte	-0.21646793603527262	11
DCLK1+ progenitor cell	-0.21646793603527262	11
Mature osteoblast	-0.21646793603527262	11
Capillary cell	-0.21646793603527262	11
Müller glial cell	-0.21647675898624663	11
Alpha cell (α cell)	-0.21647675898624663	11
Meiotic prophase fetal germ cell	-0.21675437330339745	11
Dendritic cell	-0.21776808251329421	11
FOXN4+ cell	-0.21897822359398678	11
Enterocyte progenitor cell	-0.21941844224583906	11
Spermatogonial cell	-0.2196120808359442	11
CD16+ monocyte	-0.2196120808359442	11
Disease-associated microglial cell	-0.2196120808359442	11
Beta-like cell	-0.2196120808359442	11
Periosteum-derived progenitor cell	-0.2196120808359442	11
Classical monocyte	-0.2196120808359442	11
Schwann cell	-0.2196120808359442	11
Extravillous trophoblast	-0.2196120808359442	11
Mesenchymal stem cell	-0.2196120808359442	11
Dental pulp stem cell	-0.2196120808359442	11
Delta cell	-0.2196120808359442	11
Lipid-associated macrophage(LAM)	-0.2196120808359442	11
Pluripotent stem cell	-0.2196120808359442	11
Germinal center B cell	-0.2196120808359442	11
Mesenchymal progenitor cell	-0.2196120808359442	11
Spermatogenic cell	-0.2196120808359442	11
Haematopoietic cell	-0.2196120808359442	11
Cytotoxic CD4+ T cell	-0.22006238994362498	11
FGFR1HighNME5- epithelial cell	-0.2219874520899919	11
Myoid cell	-0.2220224865643557	11
Mesangial cell	-0.2220224865643557	11
Stromal cell	-0.2220224865643557	11
m-Pericyte	-0.2220224865643557	11
Leydig precursor cell	-0.22241003080240976	11
Resident memory T cell	-0.2243476660069582	11
Granulocyte-monocyte progenitor	-0.2243476660069582	11
CD1C+_B dendritic cell	-0.2243476660069582	11
CD1C+_A dendritic cell	-0.22609193344504339	11
Mesenchymal cell	-0.22883167421605222	11
Synthetic smooth muscle cell	-0.2290325164639773	11
Effector chondrocyte	-0.2290325164639773	11
FGFR1LowNME5- epithelial cell	-0.2290607489656446	11
Basal cell	-0.23005475771695	11
