Cell Type	Z-score	Cluster
Stromal cell	-0.20380901985596395	13
Liver bud hepatic cell	-0.20690540959684925	13
Pelvic epithelial cell	-0.21052669252152478	13
Lake et al.Science.Ex8	-0.21320022137894615	13
Enterocyte progenitor cell	-0.2156986975242824	13
Ionocyte cell	-0.21575488613986418	13
Sinusoidal endothelial cell	-0.2163710217192948	13
Alpha cell (α cell)	-0.21661510023772057	13
Retinoid acid signaling-responsive fetal germ cell	-0.21691049947973384	13
DCLK1+ progenitor cell	-0.2207766838196787	13
Leydig precursor cell	-0.22156694071387825	13
Capillary cell	-0.22194451219965664	13
AXL+SIGLEC6+ dendritic cell	-0.22196654673572877	13
Neutrophil progenitor cell	-0.22236372632940513	13
Ductal cell	-0.22236372632940513	13
Cholangiocyte	-0.22236372632940513	13
Müller glial cell	-0.22274428462594895	13
Acinar cell	-0.22375880021252542	13
Immature B cell	-0.22403014770368573	13
Proliferative chondrocyte	-0.2253019841491521	13
CLEC10A+ dendritic cell	-0.22548616471748364	13
CLEC9A+ dendritic cell	-0.22548616471748364	13
Meiotic prophase fetal germ cell	-0.2255295128913561	13
Pan-endothelial cell	-0.22566362638388407	13
Proximal tubular cell	-0.22578413261675515	13
Pan monocyte	-0.22632229658682626	13
Homeostatic chondrocyte	-0.22640668191513946	13
Natural regulatory T cell	-0.2277818238144189	13
Exhausted CD4+ T cell	-0.227898936867713	13
Myoid cell	-0.22808822346016255	13
Mesangial cell	-0.22808822346016255	13
m-Pericyte	-0.22808822346016255	13
vasa recta Endothelial cell (ECvr)	-0.22851334456695666	13
Lymphoid cell	-0.22861540003030525	13
Myoepithelial cell	-0.22903738437624252	13
Basal epithelial cell	-0.22903738437624252	13
Fibrochondrocyte progenitor cell	-0.22903738437624252	13
Myeloid dendritic cell	-0.22909370831263856	13
SLC16A7+ cell	-0.22932665395110138	13
MK/eryth cell	-0.22945310657879284	13
Idiopathic pulmonary fibrosis myofibroblast	-0.23015733316372972	13
Osteocyte	-0.23015733316372972	13
Mature osteoblast	-0.23015733316372972	13
Spermatogonial cell	-0.23036205770733245	13
CD1C+_A dendritic cell	-0.23075357617709427	13
Haematopoietic cell	-0.23141507470696526	13
Dental pulp stem cell	-0.23141507470696526	13
Mature B cell	-0.23164474826375697	13
FGFR1HighNME5- epithelial cell	-0.2317103260307311	13
Panvascular cell	-0.2324233659424543	13
Effector CD8+ memory T (Tem) cell	-0.2327686924694	13
Monocyte progenitor cell	-0.23299901052712693	13
Embryonic stem cell	-0.23304781664050814	13
Meyloid cell	-0.23558111168472987	13
CD16 monocyte	-0.2361603225620932	13
Immature neutrophil	-0.2373826519079783	13
Blood cell	-0.2375487689762649	13
Conventional dendritic cell 1(cDC1)	-0.23798367585041147	13
FOXN4+ cell	-0.23817345089817255	13
Follicular cell	-0.23845291519997602	13
Germinal center cell	-0.23845291519997602	13
Hofbauer cell	-0.23847350428218522	13
Zona glomerulosa cell	-0.23850253364461166	13
Pro-inflammatory macrophage	-0.2387470067471535	13
Naive human pluripotent stem cell	-0.2389252848084964	13
Activated memory B cell	-0.2392906396286913	13
Regulatory T (Treg) cell	-0.2396258390384828	13
M1 microglial cell	-0.2399296448321019	13
Cytotoxic CD4+ T cell	-0.23993287058772847	13
Myeloid-derived suppressor cell	-0.2399383581921605	13
CD16+ dendritic cell	-0.2399383581921605	13
Monocytic myeloid-derived suppressor cell	-0.2399383581921605	13
Suppressive monocyte	-0.2399383581921605	13
Immature myeloid cell	-0.2399383581921605	13
Cardiosphere-derived cell	-0.24046860894236305	13
Neuroepithelial cell	-0.24047044288480987	13
Pluripotent stem cell	-0.24067388980486887	13
Extravillous trophoblast	-0.24067388980486887	13
Disease-associated microglial cell	-0.24067388980486887	13
Lipid-associated macrophage(LAM)	-0.24067388980486887	13
Spermatogenic cell	-0.24067388980486887	13
Germinal center B cell	-0.24067388980486887	13
Schwann cell	-0.24067388980486887	13
Beta-like cell	-0.24067388980486887	13
Mesenchymal progenitor cell	-0.24067388980486887	13
Periosteum-derived progenitor cell	-0.24067388980486887	13
FGFR1LowNME5- epithelial cell	-0.24068508201467834	13
Multipotent progenitor cell	-0.24098435232599105	13
Intermediate monocyte cell	-0.24101709874393726	13
Red blood cell (erythrocyte)	-0.24106988158250894	13
Atypical B cell(ABC)	-0.2411303744565433	13
Conventional dendritic cell 2-B (cDC2-B)	-0.24141784503667318	13
Resident memory T cell	-0.2414265998463506	13
Tissue resident memory T(TRM) cell	-0.2414265998463506	13
Activated langerhans cell	-0.24159540748253885	13
Pre-dendritic cell	-0.2423751747786042	13
Cardiomyocyte	-0.24240436465671122	13
Mesenchymal cell	-0.24302301484634808	13
Memory T cell	-0.24312137032166695	13
Regulatory T(Treg) cell	-0.24312137032166695	13
Beta cell(β cell)	-0.2434167102338337	13
Naive B cell	-0.24350259181211126	13
Granulocytic-UNK	-0.2453259576978627	13
AXL+ SIGLEC6+ dendritic cell	-0.2453259576978627	13
Retinal pigment epithelial cell	-0.24541456113444046	13
Pit progenitor cell	-0.24622686516214526	13
CD8+ T cell	-0.24623010392157382	13
Activated effector cell	-0.24623010392157382	13
Goblet cell	-0.24706908402991698	13
Early T cell progenitor (ETP)	-0.24743506465808174	13
Infiltrated mononuclear cell	-0.24773231938008883	13
Demyelinating microglial cell	-0.24773231938008883	13
M0 macrophage	-0.24773231938008883	13
Demyelinating macrophage	-0.24773231938008883	13
Activated macrophage	-0.24773231938008883	13
Cancer cell	-0.24773231938008883	13
T cell	-0.24773231938008883	13
Neuroendocrine cell	-0.24800582184505712	13
Brush cell (Tuft cell)	-0.24800582184505712	13
Bone marrow stem cell	-0.24821835029531805	13
Circulating progenitor cell	-0.24821835029531805	13
Urine-derived stem cell	-0.24821835029531805	13
Monocyte lineage	-0.24821835029531805	13
CD14+ endothelial progenitor cell	-0.24821835029531805	13
Fully activated dendritic cell	-0.24821835029531805	13
Activated CD4+ T cell	-0.24821835029531805	13
Inflammatory monocyte	-0.24821835029531805	13
CD14+ CD1c+ dendritic cell	-0.24821835029531805	13
Hematopoietic precursor cell	-0.24821835029531805	13
CD14++CD16- monocyte	-0.24821835029531805	13
Effector T(Teff) cell	-0.24821835029531805	13
Multipotent mesenchymal stroma cell	-0.24821835029531805	13
Inflammatory dendritic cell	-0.24821835029531805	13
CD14+ macrophage	-0.24821835029531805	13
CD14+ monocyte-derived macrophage	-0.24821835029531805	13
Epiblast cell	-0.24840976951129093	13
Memory B cell	-0.24849709735616904	13
CD4+ cytotoxic T1 cell	-0.24852539972479146	13
Damage-associated transient progenitor cell	-0.24856725164869953	13
Vascular smooth muscle cell(VSMC)	-0.24856725164869953	13
Tumor‐associated macrophage (TAM)	-0.24884920983589986	13
Classical dendritic cell a(cDCa)	-0.24887098917235828	13
Age-associated B cell	-0.24887098917235828	13
Synthetic smooth muscle cell	-0.249133554220762	13
Effector chondrocyte	-0.249133554220762	13
